schema_name,table_name,column_name,data_type,is_nullable,column_default,description
outreach,outreach,outreach_id,uuid,NO,gen_random_uuid(),"OUT.SPINE.PK | Primary identity for Outreach. All sub-hubs FK to this.
Minted when company passes CL identity gate (identity_status = PASS)."
outreach,outreach,sovereign_id,uuid,NO,,"OUT.SPINE.FK | Receipt back to cl.company_identity.company_unique_id.
Sub-hubs do NOT see this - they only use outreach_id.
ON DELETE RESTRICT - cannot delete CL identity if Outreach exists."
outreach,outreach,created_at,timestamp with time zone,NO,now(),
outreach,outreach,updated_at,timestamp with time zone,NO,now(),
outreach,outreach,domain,character varying,YES,,"OUT.SPINE.DOMAIN | Company domain, denormalized from CL for query performance.
        Company Target reads this - it NEVER touches CL tables directly."
outreach,outreach,ein,character varying,YES,,
outreach,outreach,has_appointment,boolean,YES,false,"Flag indicating we have a historical appointment/meeting with this company. TRUE = warm/lukewarm outreach, FALSE = cold outreach"
